time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	nornmalized1	nornmalized2	nornmalized3
0.000	0.04065	-0.15395	0.00653	0.21845	0.21341	0.09733	0.00148	0.02130	0.08103
0.011	0.04057	-0.15239	0.00873	0.21849	0.21375	0.09884	0.00148	0.02130	0.08109
0.022	0.03927	-0.13767	0.03092	0.21964	0.21549	0.11394	0.00148	0.02132	0.08167
0.033	0.03528	-0.13703	0.04295	0.22423	0.20527	0.12168	0.00149	0.02121	0.08197
0.044	0.03129	-0.14046	0.06222	0.22581	0.19613	0.14087	0.00150	0.02112	0.08270
0.055	0.02946	-0.13654	0.07066	0.23055	0.20428	0.16030	0.00151	0.02120	0.08345
0.066	0.02910	-0.14784	0.08477	0.23413	0.18514	0.17410	0.00152	0.02100	0.08398
0.077	0.02505	-0.14153	0.09125	0.22969	0.19663	0.17171	0.00151	0.02112	0.08389
0.088	0.02299	-0.14073	0.08977	0.22886	0.21389	0.16638	0.00150	0.02131	0.08368
0.099	0.01838	-0.14578	0.08870	0.22196	0.20171	0.16258	0.00149	0.02118	0.08354
0.110	0.01795	-0.15088	0.08323	0.21883	0.18644	0.15140	0.00148	0.02102	0.08311
0.121	0.01971	-0.15677	0.08000	0.21795	0.19044	0.15882	0.00148	0.02106	0.08339
0.132	0.02079	-0.15805	0.07875	0.21944	0.19228	0.16865	0.00148	0.02108	0.08377
0.143	0.02120	-0.15127	0.05788	0.22334	0.19752	0.14621	0.00149	0.02113	0.08291
0.154	0.02127	-0.16199	0.05457	0.22544	0.19264	0.13666	0.00149	0.02108	0.08254
0.165	0.02153	-0.17174	0.05451	0.22770	0.17853	0.12802	0.00150	0.02093	0.08221
0.176	0.02016	-0.18510	0.06222	0.22529	0.16057	0.13362	0.00149	0.02074	0.08243
0.187	0.02083	-0.18242	0.06383	0.22373	0.17043	0.13742	0.00149	0.02085	0.08257
0.198	0.02123	-0.17406	0.06001	0.22424	0.18175	0.13789	0.00149	0.02097	0.08259
0.209	0.02210	-0.17240	0.05624	0.22713	0.18523	0.13654	0.00150	0.02100	0.08254
0.220	0.02311	-0.18190	0.05706	0.23264	0.17503	0.14430	0.00151	0.02090	0.08284
0.231	0.02491	-0.18211	0.06641	0.23405	0.17657	0.15517	0.00152	0.02091	0.08325
0.242	0.02297	-0.19169	0.07922	0.23276	0.16562	0.17337	0.00151	0.02080	0.08395
0.253	0.02104	-0.18474	0.07831	0.23009	0.18525	0.17032	0.00151	0.02100	0.08384
0.264	0.02150	-0.16238	0.07370	0.23096	0.23064	0.16718	0.00151	0.02148	0.08372
