time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	normalized1	normalized2	normalized3
1.199	0.0477	0.04238	0.03517	0.26065	0.41078000000000003	0.15293	0.001974557963772884	0.021157077719716137	0.08316771065358913
1.21	0.04821	0.04437	0.0352	0.2606	0.42155000000000004	0.14079	0.001974407925934841	0.02126614160725537	0.08270083929164769
1.221	0.04817	0.05008	0.03029	0.25963	0.43175	0.13749	0.0019714971918768196	0.021369433311331527	0.08257393027233906
1.232	0.0458	0.05306	0.03632	0.25615	0.43716	0.14787	0.00196105455834907	0.021424218421042505	0.08297311682398258
1.243	0.04167	0.05877	0.03974	0.25405	0.42238	0.16091	0.00195475296915129	0.021274546716508625	0.08347459973664455
1.254	0.04179	0.06358	0.04416	0.25378	0.42194	0.1626	0.0019539427648258612	0.021270090995940637	0.08353959253744199
1.265	0.05765	0.05375	0.0477	0.26642	0.40914	0.1545	0.0019918723302829737	0.021140470033962716	0.08322808858095718
1.276	0.11195	0.03884	0.05697	0.31823	0.38816999999999996	0.14886	0.002147341538062484	0.02092811444234733	0.08301118952977515
1.287	0.31608	0.02827	0.04537	0.51769	0.34339000000000003	0.09008	0.00274587248158113	0.020474643608177703	0.0807506706949384
1.298	0.97779	0.00375	0.00198	1.16894	0.23171	-0.06134	0.004700115322083076	0.019343700714920364	0.07492746957260119
1.309	2.6994	-0.06474	-0.10489	2.87411	0.015959999999999988	-0.32629	0.009816915727977438	0.017158878640956617	0.06473821361326129
1.32	6.0961	-0.2193	-0.31088	6.24691	-0.30683	-0.7330099999999999	0.019937868130963946	0.013890101272452528	0.049096869269865485
1.331	11.11402	-0.44596	-0.54629	11.22292	-0.7140200000000001	-1.1977000000000002	0.034869663780508806	0.009766635685906534	0.031226156487281394
1.342	17.00271	-0.65771	-0.73865	17.0062	-1.13358	-1.61531	0.052223880340383035	0.0055179035915740695	0.015166012380167113
1.353	22.64431	-0.78179	-0.81191	22.419230000000002	-1.46307	-1.8896899999999999	0.06846706670955348	0.0021812777507846607	0.004614104283833174
1.364	27.15429	-0.79387	-0.75566	26.57649	-1.6516	-2.00967	0.08094199276115442	0.0002721027537770834	0.0
1.375	30.13813	-0.66153	-0.60785	29.16381	-1.67847	-2.0028699999999997	0.08870591074363043	0.0	0.0002615094943329408
1.386	31.66531	-0.49522	-0.41229	30.33718	-1.62603	-1.91426	0.09222690870410608	0.0005310408786032838	0.003669208949162545
1.397	32.05662	-0.33956	-0.23017	30.467260000000003	-1.54421	-1.7867899999999999	0.09261724714355714	0.0013596023714965108	0.008571358249547741
1.408	31.69952	-0.18156	-0.07283	29.96088	-1.38478	-1.63192	0.09109772393499915	0.0029740922127574165	0.014527236982980338
1.419	30.92406	-0.05007	0.05572	29.16384	-1.22832	-1.45519	0.08870600076633325	0.00455850594018438	0.021323791826136175
1.43	29.94675	0.05792	0.15995	28.30019	-1.04777	-1.25575	0.08611439718982729	0.00638687036870885	0.02899371146580686
1.441	28.90073	0.15019	0.22821	27.47691	-0.8441400000000001	-1.06527	0.08364393416375675	0.008448957594299754	0.03631905388941532
