time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	nornmalized1	nornmalized2	nornmalized3
0.704	0.01675	0.08120	0.08120	0.24978	0.43013	0.21382	0.00155	0.02135	0.08605
0.715	0.01626	0.08744	0.07980	0.25237	0.43302	0.20293	0.00156	0.02138	0.08565
0.726	0.01683	0.08723	0.07682	0.25279	0.44545	0.19785	0.00156	0.02151	0.08546
0.737	0.01780	0.08053	0.07344	0.25200	0.46053	0.20128	0.00156	0.02166	0.08559
0.748	0.01594	0.05699	0.05160	0.24584	0.43402	0.18793	0.00154	0.02139	0.08509
0.759	0.01533	0.05499	0.05354	0.24384	0.41905	0.17588	0.00154	0.02124	0.08465
0.770	0.01694	0.05119	0.05532	0.24517	0.40635	0.17484	0.00154	0.02111	0.08461
0.781	0.01778	0.05174	0.05522	0.24521	0.40334	0.17783	0.00154	0.02108	0.08472
0.792	0.01685	0.05906	0.04394	0.24397	0.41853	0.16994	0.00154	0.02124	0.08443
0.803	0.01721	0.06353	0.04731	0.24615	0.42049	0.17352	0.00154	0.02126	0.08456
0.814	0.01786	0.07115	0.05345	0.24610	0.41639	0.16067	0.00154	0.02121	0.08409
0.825	0.01977	0.07964	0.05999	0.24461	0.42173	0.15780	0.00154	0.02127	0.08398
0.836	0.02053	0.08679	0.06774	0.24258	0.42548	0.17040	0.00153	0.02131	0.08445
0.847	0.02195	0.09608	0.07423	0.24567	0.43994	0.18323	0.00154	0.02145	0.08492
0.858	0.01956	0.08707	0.08046	0.24467	0.42935	0.20240	0.00154	0.02135	0.08563
0.869	0.01912	0.08735	0.09281	0.24469	0.43744	0.22204	0.00154	0.02143	0.08635
0.880	0.02010	0.07456	0.09221	0.24685	0.43329	0.22571	0.00154	0.02139	0.08649
0.891	0.01921	0.06842	0.09809	0.24663	0.41955	0.23276	0.00154	0.02125	0.08675
0.902	0.02007	0.05960	0.09649	0.24216	0.41266	0.22568	0.00153	0.02118	0.08649
0.913	0.01934	0.05901	0.08815	0.23993	0.41502	0.20380	0.00153	0.02120	0.08568
0.924	0.01836	0.05966	0.08932	0.23949	0.41603	0.19493	0.00153	0.02121	0.08535
0.935	0.01768	0.06391	0.09217	0.24089	0.42715	0.20606	0.00153	0.02132	0.08576
0.946	0.01978	0.06544	0.08237	0.24400	0.40603	0.19672	0.00154	0.02111	0.08542
0.957	0.02212	0.05664	0.08090	0.24547	0.39213	0.20766	0.00154	0.02097	0.08582
0.968	0.02366	0.06212	0.08130	0.24583	0.40223	0.21148	0.00154	0.02107	0.08596
0.979	0.02295	0.06497	0.08044	0.24468	0.41370	0.20575	0.00154	0.02119	0.08575
0.990	0.02260	0.06535	0.07810	0.24384	0.42532	0.20548	0.00154	0.02130	0.08574
1.001	0.02198	0.07847	0.08048	0.24311	0.45214	0.20859	0.00154	0.02158	0.08586
1.012	0.02104	0.08273	0.07716	0.24237	0.44226	0.20367	0.00153	0.02148	0.08567
1.023	0.02146	0.05802	0.06579	0.24197	0.38907	0.19113	0.00153	0.02094	0.08521
1.034	0.02256	0.04063	0.04952	0.24302	0.37284	0.17857	0.00153	0.02077	0.08475
1.045	0.02273	0.03812	0.04967	0.24145	0.39003	0.18005	0.00153	0.02095	0.08480
1.056	0.02240	0.04897	0.05574	0.23812	0.40738	0.18211	0.00152	0.02112	0.08488
1.067	0.02208	0.05658	0.05468	0.23622	0.40948	0.17691	0.00152	0.02114	0.08469
1.078	0.02105	0.05010	0.05831	0.23559	0.39970	0.17984	0.00152	0.02104	0.08480
1.089	0.02147	0.04758	0.05437	0.23732	0.39639	0.17221	0.00152	0.02101	0.08451
1.100	0.02384	0.05228	0.05015	0.23934	0.40345	0.16307	0.00153	0.02108	0.08418
1.111	0.02414	0.05995	0.04966	0.23784	0.42564	0.16231	0.00152	0.02131	0.08415
1.122	0.02597	0.04628	0.04215	0.23864	0.42337	0.15080	0.00152	0.02128	0.08372
1.133	0.03061	0.03864	0.04369	0.24495	0.40443	0.15526	0.00154	0.02109	0.08389
1.144	0.02962	0.03755	0.05192	0.24457	0.39453	0.17361	0.00154	0.02099	0.08457
1.155	0.02597	0.03414	0.04715	0.23995	0.40071	0.16936	0.00153	0.02106	0.08441
1.166	0.02200	0.04367	0.06040	0.23624	0.41858	0.17574	0.00152	0.02124	0.08464
1.177	0.02403	0.05178	0.07811	0.23778	0.43067	0.18904	0.00152	0.02136	0.08513
1.188	0.02909	0.05776	0.08126	0.24322	0.43448	0.19378	0.00154	0.02140	0.08531
1.199	0.02965	0.04238	0.07845	0.24260	0.41078	0.19621	0.00153	0.02116	0.08540
